"Title","Year","Country"
"What is the difference between Eurostar first class and French TGV first class?","2011","-1"
"Being safe in an unknown place","2011","-1"
"Is it safe to travel to Socotra, Yemen?","2011","Yemen"
"On planning a road-trip","2011","-1"
"What are the best things to see in Copenhagen, Denmark?","2011","Denmark"
"When and where do I have the highest chance of seeing auroras?","2011","-1"
"What is the safest way to travel from Tehran to North-Pakistan?","2011","Pakistan"
"What's the cheapest way to purchase data access for my verizon smartphone while traveling in Spain?","2011","Spain"
"Hodophobia ... Scared of doing things or going to places that is dangerous","2011","-1"
"Eco touring/diving in Malaysia","2011","Malaysia"
"How can I find a guide that will take me safely up Mount Kilimanjaro and Mount Elbrus?","2011","-1"
"I'm in Volgograd, Russia. Aside from trains, is there another way to get to Astrakhan?","2011","Russia"
"Kazakhstan visa in Uzbekistan?","2011","Uzbekistan"
"Turkmenistan visa in Uzbekistan?","2011","Uzbekistan"
"Can I visit the castles/fortresses in the mountains around Turin, Northern Italy?","2011","Italy"
"Is there a list of free accommodation resources?","2011","-1"
"How good is Public Transport In the USA?","2011","-1"
"Overlanding without a Carnet de Passage?","2011","-1"
"How do you avoid ""tourist traps"" when traveling to a country where you do not speak the language?","2011","-1"
"Can you go to the Maldives without assistance of a travel agency?","2011","Maldives"
"Where would be the optimal place to watch the Nov 2012 Solar Eclipse from?","2011","-1"
"What part of Great Wall of China is easier to visit, starting from Peking?","2011","China"
"Using status across other Star Alliance airlines?","2011","-1"
"What seasonal work can fund travel?","2011","-1"
"References for tipping etiquette in different countries?","2011","-1"
"How can I protect camera equipment in checked baggage?","2011","-1"
"How can I protect my vehicle when left at a trail head for an extended period?","2011","-1"
"If I visit Los Angeles, am I better off renting a car or not?","2011","-1"
"Are there any good, cheap bus companies to use for traveling around the western United States?","2011","United States"
"Avoiding air travel sickness without Dramamine/Dimenhydrinate or other drugs","2011","-1"
"Which European cities have bike rental stations for tourists?","2011","-1"
"Travel insurance with regards to luggage being stolen/lost","2011","-1"
"What rights do passengers have when flights in the USA are delayed?","2011","-1"
"Getting from Astrakhan, Russia to Aktau, Kazakhstan","2011","Russia"
"Is the weight limit for AJ Hackett's Macau Tower bungee jump followed strictly?","2011","-1"
"Is the border between Georgia and Russia open to citizens of other countries?","2011","Russia"
"Is it possible to travel through Burma (Myanmar), entering at one border crossing and exiting at another?","2011","-1"
"Are there any ferries currently running on the Black Sea between Romania and the Republic of Georgia?","2011","Romania"
"Can I apply for a Russian visa from the country Georgia?","2011","Russia"
"Is it worth getting a one-week public transportation pass for Rome?","2011","-1"
"What measures can one take to keep a motorcycle safe during a road trip?","2011","-1"
"What time of the year is the cheapest to cruise in/around North America?","2011","-1"
"Will Armenia and Azerbaijan permit a tourist to enter if they have the other country's stamp in their passport?","2011","Azerbaijan"
"Language schools that teach Mayan languages around Lake Atlitlan, Guatemala?","2011","Guatemala"
"What's the cheapest transport to get from Ataturk International aiport to the Taksim Square area of Istanbul?","2011","-1"
"How to overcome the language barrier when visiting France and Spain?","2011","Spain"
"Can I pay for my Turkish visa on arrival at the airport in Euros?","2011","-1"
"Can anyone recommend a good trekking tour for Machu Picchu?","2011","-1"
"Are there Italian customs that a North American should be aware of?","2011","-1"
"Can we get by as English speakers visiting Iceland?","2011","Iceland"
"How can I use my US iPhone (AT&T) in a foreign country, specifically Iceland, without paying through the nose?","2011","Iceland"
"Is there a definitive reference guide to cell phone standards by country?","2011","-1"
"China visa issue after traveling to Taiwan","2011","Taiwan"
"I have lost my residential permit while travelling in India - what should I do?","2011","India"
"Is it safe to travel in Greece during the riots about government spending cuts?","2011","Greece"
"What's the cheapest way to convert British Pounds into other currency?","2011","-1"
"Are there any standard clothing restrictions when visiting mosques?","2011","-1"
"Will I be able to travel around India speaking only English?","2011","India"
"What key sights to see in one week in France?","2011","France"
"US Customs Pre-clearance in foreign airports","2011","-1"
"Third party shore-excursion operators in the Western Caribbean","2011","-1"
"What do I need to know or do in order to rent a car in Spain?","2011","Spain"
"Tipping etiquette in different countries","2011","-1"
"Should I purchase rental car insurance? What protection does my credit card provide?","2011","-1"
"Is it safe to drink the tap water in Istanbul?","2011","-1"
"Are international driving licences really necessary for any country?","2011","-1"
"When travelling overland in Russia I hear you must register with the police in each new place, but does this cost money?","2011","Russia"
"Longer latency on GPS connection depending on which country I'm in?","2011","-1"
"Do you need to submit an itinerary to get a Russian visa? And do you have to stick to it?","2011","Russia"
"Are there cheap GPS or other navigator devices with downloadable maps for the whole world?","2011","-1"
"Any beaches along the New York - Boston corridor?","2011","-1"
"Is it cheaper and/or easier to buy a cheap tent and sleeping bag in Turkey or Bulgaria?","2011","Turkey"
"LAX to Anaheim - how much slower is the Super Shuttle than a cab?","2011","-1"
"Is there a resource for crime statistics in Spain - especially robbery","2011","Spain"
"Are there any analogs of the Malbork castle in Poland or Germany?","2011","Poland"
"Is it usual for Japanese sentos to offer cheap overnight stays like their Korean counterparts (jjimjilbangs) do?","2011","Japan"
"Charge iPhone in Europe","2011","-1"
"Where is the cheapest punt hire in Cambridge?","2011","-1"
"Aktau, Kazakhstan to Bukhara, Uzbekistan?","2011","Uzbekistan"
"Visa-on-arrival scheme in Philippines","2011","Philippines"
"Visa for European countries for US passport holder","2011","-1"
"Are there currently any international ferries that travel to Saint Petersburg, Russia?","2011","Russia"
"Is it necessary to take malaria pills when travelling in South India?","2011","India"
"How can I get to Gatwick Airport from London at 5am?","2011","-1"
"Best way to go from Sepang KLIA to downtown Kuala Lumpur?","2011","-1"
"Is dengue fever still on the rise in Mexico or is it subsiding?","2011","Mexico"
"Is it cheaper to mail a small package to Germany from Turkey, Bulgaria, or Romania?","2011","Turkey"
"View the Grand Canyon by helicopter - is it real?","2011","-1"
"In Malaysia, how should I deal with taxi drivers wanting to go off-meter?","2011","Malaysia"
"What is the best time of year to go to Disney World to avoid crowds?","2011","-1"
"What class of travel is suitable for a woman travelling alone on Indian railways?","2011","Oman"
"In Rome, are some days less busy than others?","2011","-1"
"Is it possible to go directly from Siem Reap to Vientiane over land?","2011","-1"
"Bringing a camping knife to Japan","2011","Japan"
"How can I get to view the North Face of the Eiger in Switzerland?","2011","Switzerland"
"Is it possible to get from the Philippines to Taiwan to Japan (or the reverse) without flying?","2011","Taiwan"
"What are the rules/regulations for public transit passengers in St. Louis, Missouri?","2011","-1"
"Traveling to USA with tripod attached to my camera bag","2011","-1"
"How to find travel deals for a very specific area?","2011","-1"
"What US airports don't require removing CPAP for scanning at TSA?","2011","-1"
"Is there a boat that will take tourists to Iceland from North America?","2011","Iceland"
"How far away can I get with my car starting in Amsterdam?","2011","-1"
"Does a US citizen need a visa to go to Australia to put on a conference and go on vacation?","2011","Australia"
"Getting a Chinese tourist visa with an expired UK criminal conviction","2011","-1"
"Inexpensive way to use my US iPhone's data connection in Turkey?","2011","Turkey"
"If I have status on one airline, can I transfer my status to another airline?","2011","-1"
"Where in Boston should I head on the Fourth of July?","2011","-1"
"Are there any programs in British Columbia in which a U.S. citizen could get a visa to work temporarily (and travel)?","2011","-1"
"Motorbikes in Thailand and Laos","2011","Thailand"
"Working the ski season in France","2011","France"
"Where can I get information on freighter travel?","2011","-1"
"Does anyone have any advice for an English person going to Positivus festival in Salacgriva, Latvia?","2011","Latvia"
"Diving safety in Australia","2011","Australia"
"Is tea and coffee on the street safe to drink in India?","2011","India"
"Touring opal mines in Australia","2011","Australia"
"Is sleeping in tents / hammocks allowed in Malaysian beaches?","2011","Malaysia"
"Proper policy on using electrical plug outlets in Toronto Pearson International Airport","2011","-1"
"If I travel to Paris, can I get by with just English?","2011","-1"
"Strongest travel sunblock?","2011","-1"
"What are the most effective rideshare sites in the US?","2011","-1"
"What time do the city buses start running in Istanbul?","2011","-1"
"Are cruises' Shore Excursions worth the money?","2011","-1"
"Can I drive in OR state with CT license?","2011","-1"
"Can Hostelworld Gold membership numbers be shared among multiple accounts?","2011","-1"
"How long does it take to process a French working holiday visa?","2011","-1"
"Visit the UK with Schengen tourist short-stay visa","2011","-1"
"How to get into and travel across Tanzania","2011","Tanzania"
"Direct bus from Johannesburg Airport to Mbabane","2011","-1"
"Do I have to visit the Chinese consulate in person to get my visa?","2011","-1"
"What regulations should a European driver know when driving in the US?","2011","-1"
"What kind of plug adapter should I pack for India?","2011","India"
"Khiva to Bukhara (Uzbekistan) for solo traveller","2011","Uzbekistan"
"Which credit cards have global coverage?","2011","-1"
"Rome football derby - how can I visit it?","2011","-1"
"How can I do a ""broad"" search for flights?","2011","-1"
"What's the easiest way to find a vacation rental?","2011","-1"
"How far into Washington, DC should I drive before taking the Metro?","2011","-1"
"Metal flasks with baby food in a plane","2011","-1"
"Carnet insurance for driving into Iran?","2011","Iran"
"Banff to Vancouver via Kootenay and Okanagan valley in three days: does it make sense?","2011","-1"
"Are there ferry companies that visit the Norwegian fjords?","2011","-1"
"What food to take on a 3-4 day long hiking trip?","2011","-1"
"Can I rent a camper in the US/Canada with a European B license?","2011","Canada"
"How to see the Norwegian fjords","2011","-1"
"What time of year is best for taking the Trans-Siberian Express?","2011","-1"
"How to stay in Thailand for more than 30 days?","2011","Thailand"
"Long Term Travel - what insurances can / should I get?","2011","-1"
"Buying Paris metro tickets from Eurostar before/during the journey?","2011","-1"
"Water tests during travelling","2011","-1"
"How can I travel to Germany with my dog?","2011","Germany"
"Northern Cyprus - way to visit and what problems can I have with Republic of Cyprus after that?","2011","Cyprus"
"Elephant Trekking in northern Thailand","2011","Thailand"
"In the US, what's a good prepaid GSM SIM card without a phone?","2011","-1"
"What international calling card can be purchased online?","2011","-1"
"Are there any ferry companies operating between Russian East ports and Japan?","2011","Russia"
"Repeated reminder email from EasyJet for API document","2011","-1"
"Travel insurance with a pre-existing condition","2011","-1"
"Where to go in Thailand in September?","2011","Thailand"
"How short notice can you fly to USA?","2011","-1"
"How should I spend my time in Calgary in August?","2011","-1"
"Can I take my liquid medication on a plane?","2011","-1"
"Which chateaux of the Loire are worth visiting?","2011","-1"
"What's a good alternative to Dopplr?","2011","-1"
"Roughly how long does the Pamir Highway take to do?","2011","-1"
"a webservice for finding the flights by country","2011","-1"
"Extended stay visa for Germany","2011","Germany"
"Beach activities for 60 year old parents in Langkawi, Malaysia?","2011","Malaysia"
"Getting to La Tomatina","2011","-1"
"Are there any good hostels in San Francisco?","2011","-1"
"Budget caribbean in January from South America","2011","-1"
"Denmark and Schengen - border controls","2011","Denmark"
"What is the minimum passport expiry period when travelling to USA on an ESTA authorization from a previous visit?","2011","-1"
"Where can I find a guidebook of Menorca?","2011","-1"
"Khojand to Dushanbe - cost vs danger?","2011","-1"
"Visa ""maximum stay"" rules","2011","-1"
"How long does it take to renew a US passport?","2011","-1"
"Picking up Greyhound bus tickets from a different station than origin","2011","-1"
"Shipping my car from Europe to Canada or the U.S","2011","Canada"
"French rules for long stay visa: OFII","2011","-1"
"Paris Gare du Nord to Gare Montparnasse, by public transport but without lots of walking?","2011","-1"
"How to calculate the number of days you can stay in Taiwan on a tourist visa?","2011","Taiwan"
"Is there any trick to checking in more weight on planes?","2011","-1"
"AAA benefits in Europe?","2011","-1"
"Getting to Guangzhou from Melbourne","2011","-1"
"Shoes for long flight","2011","-1"
"Places to see wildlife near Melbourne","2011","-1"
"Collecting French (SNCF) ""Ticket On Departure"" tickets from outside of France?","2011","France"
"What techniques, tricks or otherwise have you used to get upgrades on flights?","2011","-1"
"Are there any issues with using credit cards in Germany?","2011","Germany"
"Ferry connection between Crimea (Ukraine) and Georgia?","2011","Ukraine"
"Is it possible to bring a bicycle on a plane?","2011","-1"
"Are some permanent markers not safe for checked luggage?","2011","-1"
"Penalty for overstaying tourist visa in Taiwan","2011","Taiwan"
"What is the best way to get from Rome to Venice?","2011","-1"
"Trans-Siberian Express: Stopping along the way?","2011","-1"
"When to book tickets from travel sites rather than airline sites?","2011","-1"
"How to book courier flights (discounted fare in exchange for delivering a package upon arrival)?","2011","-1"
"""Flight mode"" phone use banned on Ryanair. Is this a worldwide phenomenon?","2011","-1"
"What is the minimum time to consider with a connecting flight in the USA?","2011","-1"
"Is it possible to obtain a work permit for a teaching role in the UK without a teaching degree?","2011","-1"
"Choosing an airline alliance","2011","-1"
"Using an Amazon Kindle onboard a flight?","2011","-1"
"Are there any museums in Stockholm for children? (not Junibacken)","2011","-1"
"How long does it take for a US citizen to get their first passport?","2011","-1"
"Online version of the Louvre museum","2011","-1"
"What type of writing pen is suited for travelling?","2011","-1"
"What's the name for the ""blocking"" stickers used on car headlights?","2011","-1"
"Can I get warfarin in Tajikistan (or nearby?)","2011","Tajikistan"
"US citizens traveling between 2 ""no visa required"" countries","2011","-1"
"How to extend Indonesian visa on arrival (VOA) in Indonesia","2011","Indonesia"
"What happens when a foreigner gets a traffic fine in the United States?","2011","United States"
"What are some strategies for keeping solo travel costs down?","2011","-1"
"What is a good country for a working vacation?","2011","-1"
"Cell phone frequencies in Nicaragua","2011","Nicaragua"
"Visa for US citizen visiting Nicaragua","2011","Nicaragua"
"Dushanbe to Bishkek overland - options?","2011","-1"
"Downloadable maps of China","2011","China"
"US debit/ATM card with lowest fees for travel","2011","-1"
"US Dollar (USD) to Nicaraguan Córdoba (NIO) exchange rate","2011","Nicaragua"
"Website resources for 'out there' jobs related to travel","2011","-1"
"How can I avoid or minimize jet lag?","2011","-1"
"Is it possible to recharge an OV-chipkaart without a Dutch banking card?","2011","-1"
"Visiting giant panda sanctuary Chengdu from Guangzhou","2011","-1"
"How can I fly with a guitar?","2011","-1"
"What are Ireland's top places to visit with a toddler?","2011","Ireland"
"Transit visa on arrival in Kazakhstan","2011","Kazakhstan"
"Is the Pamir highway passable in early October?","2011","-1"
"Overland route from the Caucasus to Mongolia without entering Russia?","2011","Russia"
"Is it possible to apply for a Chinese visa while travelling outside your home country?","2011","-1"
"Where can I find road atlas for Ireland including campsites?","2011","Ireland"
"Time needed to visit the Seattle Space Needle","2011","-1"
"Recommended destinations located close to Siem Reap, Cambodia","2011","Cambodia"
"Is it possible to visit Abkhazia by land from Georgia?","2011","Georgia"
"Is it possible for a tourist to visit South Ossetia?","2011","-1"
"Elm, Switzerland - Suvorov monument and Glarus thrust","2011","Switzerland"
"Transporting a big shipment of computer equipment to the Caribbean","2011","-1"
"Do infants need their own seats on long flights?","2011","-1"
"Is there any similar alternative to Zanzibar, in Tanzania?","2011","Zanzibar"
"What is the best method of purchasing a ticket with an open return date?","2011","-1"
"Camping near a beach, not far from Tokyo","2011","-1"
"Choosing hiking shoes","2011","-1"
"Mountain bike routes in Val di Sole, Trentino?","2011","-1"
"Which embassy/consulate to contact when you need consular support for a family where the parents have different nationalities?","2011","-1"
"Green card lottery - what does it mean?","2011","-1"
"Bishkek (or Almaty) to Novosibirsk next week","2011","-1"
"Which airlines fly from Ulaanbaatar / Ulan Bator?","2011","-1"
"Going to Playa de Carmen in a few weeks - What do I need to know?","2011","-1"
"What is the most time and cost efficient way to get from Buenos Aires to Iguazu falls?","2011","-1"
"Which Australian bank/account incurs lowest fees using an ATM card overseas?","2011","Australia"
"Does a Singaporean Student Pass visa card need to be surrendered when it expires?","2011","Singapore"
"What is required of an Australian citizen to get a visa for Ukraine?","2011","Ukraine"
"Entertaining family stopovers on a driving trip from Pittsburgh, PA, to Chicago, IL","2011","-1"
"Is there a transit visa requirement for Chinese airports?","2011","-1"
"What time is the daily train from Balykchy on Lake Issyk-Kul to Bishkek?","2011","-1"
"Left Luggage facilities at Paris Gare du Nord?","2011","-1"
"Paris on a Tuesday - are the Louvre and the Pompidou Centre the only ""big"" attractions that are closed?","2011","-1"
"How can I find short-term private room accommodations in London?","2011","-1"
"Are there low cost airlines to travel within the US?","2011","-1"
"Which airlines provide free stopovers?","2011","-1"
"Tactics to avoid getting harassed by corrupt police?","2011","-1"
"Getting married in Madrid, looking for affordable group housing for friends & family","2011","-1"
"'Easiest' Place to get a Mongolian Visa?","2011","Mongolia"
"Unplanned backpacking across several European countries","2011","-1"
"Do Australian citizens still get visa-free entry for 360 days in Georgia (the country)?","2011","Georgia"
"Is a chest X-ray / report required to enter the UK?","2011","-1"
"What to show grandparents in Stockholm/Anytown?","2011","-1"
"Is it bad to give money to beggars in India?","2011","India"
"Accommodation search engine that allows setting an approximate price range without a date?","2011","-1"
"How long does it take for a US citizen to get a visa to travel to Israel?","2011","Israel"
"Airport transfer in Sanya","2011","-1"
"Differences between China Southern and Cathay Pacific","2011","China"
"Talgo train from Almaty to Astana?","2011","-1"
"Online travel agent leaving and returning with different airlines","2011","-1"
"Alternate routes Almaty to Novosibirsk","2011","-1"
"Getting from Victoria Falls airport to town","2011","-1"
"What direct flights connect Brazil or Argentina to South Africa?","2011","South Africa"
"Can anyone recommend me a good travel book about the area Black Forest in Germany?","2011","Germany"
"Is there wifi in Astana Airport (Kazakhstan)?","2011","Kazakhstan"
"Motorcycle rentals in Spain, licence restrictions","2011","Spain"
"How could I explore the Rock Islands of Palau?","2011","Palau"
"What's the best way to get from Freiburg (Germany) to Hannover (Germany)?","2011","Germany"
"What are good security tactics for sleeping in airports?","2011","-1"
"Is there a bus from San Francisco to Sonoma?","2011","-1"
"London clubs with nu-folk local bands","2011","-1"
"Can I use B1/B2 visa to travel to the US without a business purpose?","2011","-1"
"Skiing in BC in November - can it be done as a day trip from Vancouver?","2011","-1"
"In the Loire Valley, are there any ""arty"" caves that can be visited?","2011","-1"
"Compensation for delayed baggage on international United flight","2011","-1"
"Where is this flag from?","2011","-1"
"Resources for planning a western United States road trip","2011","United States"
"Travel planning web sites","2011","-1"
"Where is wild camping possible in Europe?","2011","-1"
"Swiss mountain peaks in February - suitable weather conditions?","2011","-1"
"How do I get a permanent legal right to work in the United States?","2011","United States"
"How reliable are hotels' information on their websites?","2011","-1"
"What is some useful software for brainstorming/planning long trips?","2011","-1"
"Is Norway significantly more expensive than other European destinations?","2011","Norway"
"Do American cellphones work in Europe?","2011","-1"
"What should we consider when buying a gift for a host family in Turkey?","2011","Turkey"
"How should I choose the best option for a London apartment rental?","2011","-1"
"Is there a flight search engine that has an option to show full flights?","2011","-1"
"Do I need sunglasses in the Dolomites?","2011","-1"
"Is there a resource to find free, open wifi hotspots?","2011","-1"
"What are more authentic places in London, as opposed to the ones overcrowded with tourists?","2011","-1"
"Which US credit cards have the cheapest foreign transaction fees?","2011","-1"
"Irkutsk to Ulaanbaatar by train or bus?","2011","-1"
"How to book a bassinet for an infant on a flight?","2011","-1"
"Does the Disney Dining plan impose any restrictions on the food I can order?","2011","-1"
"How can I get an 'invitation' to Russia?","2011","Russia"
"Name this church in Moscow, please?","2011","-1"
"What organizations give computer science PhD students travel grants?","2011","-1"
"How to find out your body weight while travelling?","2011","-1"
"Is it cheaper to book excursions locally for South Africa?","2011","South Africa"
"What is the best time of year to visit Reykjavík?","2011","-1"
"What kind of Visa do I need to land on the EuroAirport Basel-Mulhouse-Freiburg?","2011","-1"
"Which country should I go to in order to see gorillas?","2011","-1"
"Should I bring sufficient anti-mosquito lotion to China?","2011","China"
"What is the best time to see the Lavender in France?","2011","France"
"How do I visit Petra from Israel?","2011","Israel"
"Advice on taxis and accommodation for travel in Sri Lanka","2011","Sri Lanka"
"How to go to Manchester from London?","2011","-1"
"How much is it appropriate to tip in Palm Beach?","2011","-1"
"What bus and train routes exist between Greece and the Republic of Macedonia?","2011","Macedonia"
"Where can I usually find city bikes in Copenhagen?","2011","-1"
"What are some ways to minimize the time spent in customs?","2011","-1"
"What cell provider should I use in Dubai?","2011","-1"
"Travelling with beach sand in carry-on","2011","-1"
"What considerations should I make for traveling in Israel on the Sabbath?","2011","Israel"
"Are there any repercussions from having an Israeli stamp in my passport?","2011","Israel"
"Are there any small towns near Edinburgh with good access to rural hiking routes?","2011","-1"
"What is a good town/place to stay at, in order to visit the Dead Sea?","2011","-1"
"Will an Iranian or Kuwaiti visa or stamp in my passport pose a problem on a future visit to Israel?","2011","Kuwait"
"When travelling from London to northern Sweden by train, is it possible to have a day of free sightseeing anywhere other than Copenhagen?","2011","Sweden"
"What is the best way to travel around Israel and Palestine?","2011","Israel"
"Travelling to Israel - help to divide time between areas","2011","Israel"
"Are there prepaid mobile data plans in China?","2011","China"
"What's the cheapest way to call China from the US with an AT&T cell phone?","2011","China"
"How can I book deck ferry tickets from Piraeus, Athens to Naxos?","2011","-1"
"Access airport lounge with Gold/Premier credit card","2011","-1"
"What neighborhoods or sites should I visit in Montreal?","2011","-1"
"Flying UK to Canada via USA. Do I need to apply for ESTA?","2011","Canada"
"How can I effectively compare data plans available in a country?","2011","-1"
"Tickets for the Italian F1 Grand Prix at Monza","2011","-1"
"Non-EU countries covered under travel insurance plans for Europe","2011","-1"
"How to find the duration of stay in Singapore for Pakistani passport?","2011","Singapore"
"Itinerary for Galilee and the Golan","2011","-1"
"Which is the best frequent flyer program to join?","2011","-1"
"Getting to Terelj National Park from Ulaanbaatar, Mongolia","2011","Mongolia"
"What is a good place to have a bird's eye view of Boston?","2011","-1"
"Long stopover time in Melbourne Airport","2011","-1"
"How safe is Morocco? (2011-2012)","2011","Morocco"
"My departure record was not collected when I left the USA. Is this a problem?","2011","-1"
"Getting to the sea from Oxford","2011","-1"
"Good locations in Spain for hiking, nature, architecture, and photo opportunities?","2011","Spain"
"Finding a cruise on the Nile","2011","-1"
"What are the Jordanian visa rules for travellers entering from Israel?","2011","Jordan"
"Using Australian mobile in China","2011","China"
"Finding Twin rooms","2011","-1"
"Do you need to get a new ESTA when your passport is renewed?","2011","-1"
"Changing unusual foreign currencies in London","2011","-1"
"What does a technical stop mean in air travel?","2011","-1"
"How should I prepare for a visit to the rice terraces?","2011","-1"
"Travelling by train in mainland Europe, will I save money by booking my tickets early?","2011","-1"
"Things to see in Nova Scotia, that aren't Halifax centric","2011","-1"
"Best way for U.S. citizen to obtain China visa while in Europe?","2011","China"
"Is there a quaint hotel in Venice Beach?","2011","-1"
"With Airlines using the same programs, can I merge benefits?","2011","-1"
"Are there any problems crossing Kosovo's international borders or having their stamp in your passport?","2011","Kosovo"
"How can I find train departure information for Athens - Istanbul?","2011","-1"
"How can I get a great view of Shanghai?","2011","-1"
"How can I find info about the train or bus from Murfatlar (Basarabi) to Bucharest?","2011","-1"
"Southern California nature day trips?","2011","-1"
"China Airlines, safe?","2011","China"
"Driving Toronto To Vancouver through the states, places to stay/see","2011","-1"
"Favourite tapas bars in Barcelona","2011","-1"
"Three days in Montenegro, looking for good beaches, where should we go?","2011","Montenegro"
"Travel with a baby from Eindhoven to Maasbree in the Netherlands","2011","Netherlands"
"Australian drivers licence valid in the US?","2011","Australia"
"Sustainable hunting in South-East Asia","2011","-1"
"How to go on a submarine tour?","2011","-1"
"How to travel as a crew member on a ship?","2011","-1"
"Vaccinations for Beijing","2011","-1"
"Getting from downtown Vancouver to the Airport on a Friday night","2011","-1"
"Can I use Korean Air's mileage for Delta domestic flights?","2011","-1"
"Why airline websites charge more money than discount travel websites","2011","-1"
"Are there data plans for travelers in the USA?","2011","-1"
"Can I travel from the USA to Spain with a one-way flight?","2011","Spain"
"What clothes should I bring on a backpacking trip","2011","-1"
"Can a New Zealander get a multi entry visa for Zimbabwe on arival?","2011","Zimbabwe"
"Plans for labor day weekend (live in New York City)","2011","-1"
"Darwin to Timor by boat","2011","-1"
"What should we plan to see on a weekend in Belfast?","2011","-1"
"Is there any online resource that can tell me what visa rules are for passport holders of a specific country?","2011","-1"
"Any special requirements in driving from Spain to France?","2011","Spain"
"Does the Ukraine-Georgia ferry go via Russia and if so must I have a Russian visa even if I don't disembark?","2011","Ukraine"
"3G/4G data plan cost outside your own country","2011","-1"
"How can I maximize my chances of obtaining a Russian visa outside my home country?","2011","Russia"
"How can I translate medicines?","2011","-1"
"What options are there for a 5-hour layover in Kuala Lumpur?","2011","-1"
"How do I get money back for my foreign coins?","2011","-1"
"What precautions should travelers take in Spain/France?","2011","Spain"
"Cheap short-term accommodation in downtown Vancouver","2011","-1"
"How to travel on horseback?","2011","-1"
"What facilities are there in the Thalys Lounge at Brussels Midi station?","2011","-1"
"Driving from San Antonio to Copan Ruinas, Honduras","2011","Honduras"
"Roadtrip in Southeastern Europe","2011","-1"
"What are some camping tips in general and at East Coast Park in Singapore?","2011","Singapore"
"How to avoid getting motion sickness?","2011","-1"
"Is there a hotel / B&B Finder using Google or Bing maps?","2011","-1"
"How much should a taxi cost from the Romania border to the centre of Ruse, Bulgaria?","2011","Romania"
"Is there any way of evaluating the quality of a hotel's internet connection in advance?","2011","-1"
"My flight back takes off in late evening and might be delayed - which departure date do I specify?","2011","-1"
"What are some techniques to avoid annoying the travel mate?","2011","-1"
"Where in the Balkans is free camping permitted?","2011","-1"
"Is there a feasible way to combine hitchhiking and CouchSurfing?","2011","-1"
"What is the state of train travel in USA?","2011","-1"
"Is there a Sat Nav that works in Israel? (preferably with good coverage)","2011","Israel"
"Are trains stopping between stations to let passengers board/alight just a Canadian thing?","2011","-1"
"How do I ensure I do not pay out money for tickets that are not usable for other reasons?","2011","-1"
"When do CIV conditions for delayed travelers apply?","2011","-1"
